,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
0,RANGE_INTERPOLATED,"1101 Liggett Ave, Reading, PA 19611, USA",EigxMTAxIExpZ2dldHQgQXZlLCBSZWFkaW5nLCBQQSAxOTYxMSwgVVNBIhsSGQoUChIJu_e93R9xxokR6Y3pB2VlMagQzQg,1101 LIGGETT ST,40.3182007,-75.9466168,1,19611,OK,street_address
1,ROOFTOP,"32-34 Spring Ave, Troy, NY 12180, USA",ChIJMx5-SxIP3okRp_2RdVntn5s,32 SPRING AV,42.717837,-73.681213,1,12180,OK,street_address
2,RANGE_INTERPOLATED,"310 Kimball's Garden Cir, Nauvoo, IL 62354, USA",Ei8zMTAgS2ltYmFsbCdzIEdhcmRlbiBDaXIsIE5hdXZvbywgSUwgNjIzNTQsIFVTQSIbEhkKFAoSCanVwEUOJueHEVFDowtUYgR-ELYC,310 KIMBALL'S GARDEN CIRCLE,40.553455,-91.3787738,1,62354,OK,street_address
3,ROOFTOP,"924 E Castle N Ct, Tampa, FL 33612, USA",ChIJPXhMwObGwogR4gfGxzxIH2w,924 N CASTLE CT,28.0379658,-82.4496968,1,33612,OK,premise
4,ROOFTOP,"274 Sharon Turnpike, Goshen, CT 06756, USA",ChIJ33OHUhib54kRsepGTemSL4M,274 SHARON TURNPIKE,41.8292025,-73.2501421,2,6756,OK,premise
5,ROOFTOP,"14804 Grimsby Pl, Tampa, FL 33618, USA",ChIJw8l7EJjAwogRyUsSIN4aFIs,14804 GRIMSBY PL,28.0834288,-82.4976991,1,33618,OK,premise
6,RANGE_INTERPOLATED,"34 County Ct, Gaithersburg, MD 20878, USA",EikzNCBDb3VudHkgQ3QsIEdhaXRoZXJzYnVyZywgTUQgMjA4NzgsIFVTQSIaEhgKFAoSCbn5sGdcLbaJEfUFRBjK7dNaECI,34 COUNTY CT,39.1178984,-77.2129914,1,20878,OK,street_address
7,ROOFTOP,"11141 Sun Valley Dr, Oakland, CA 94605, USA",ChIJj82XyvmOj4ARSnwjUQyqDPU,11141 SUN VALLEY DR,37.7518304,-122.1191129,1,94605,OK,premise
8,ROOFTOP,"127 Stoddert Ave, Waldorf, MD 20602, USA",ChIJsagpdDWnt4kR1v-INRy0clg,127 STODDERT AVE,38.605996,-76.92088,1,20602,OK,street_address
9,RANGE_INTERPOLATED,"16500 S Mountain Rd, Santa Paula, CA 93060, USA",Ei8xNjUwMCBTIE1vdW50YWluIFJkLCBTYW50YSBQYXVsYSwgQ0EgOTMwNjAsIFVTQSIcEhoKFAoSCa-7QkVrtemAEblOAetVbDohEPSAAQ,16500 SOUTH MOUNTAIN RD.,34.3320293,-119.0683311,1,93060,OK,street_address
10,,,,,,,,,,
